name,lat,long
Warung Sila,-6.3451249,106.8157549
Pertigaan Warungsila Rindang,-6.3459577,106.8116014
Jalan Persahabatan,-6.3461081,106.8104497
Halte Setu Babakan,-6.3391835,106.8216394
SMP SMA Bakti 17,-6.3479452,106.8096978
Pom Bensin Kahfi,-6.3426777,106.8178673
RS Ali Sibroh Malisi,-6.3444081,106.8141397
SMP SMK Bakti 17,-6.3481104,106.8095761
SDN Cipedak 04 & 03,-6.3488794,106.8093181
SDN Cipedak 04 & 03,-6.3489654,106.8093699
Perempatan Persahabatan Timbul,-6.3508883,106.8077442
Masjid Darussalam,-6.3467091,106.8101078
Gang Dul Djaim,-6.3616279,106.8071737
Gang Dul Djaim,-6.3617464,106.8072354
Persahabatan Timbul Raya,-6.3508388,106.8077215
SDN Jagakarsa 03,-6.3278036,106.8202343
Puskesmas Ciganjur,-6.3365029,106.8062908
Masjid El Syifa,-6.3331185,106.8073937
RSUD Kecamatan Jagakarsa,-6.3163712,106.8116729
Masjid Assa'adatain,-6.338499,106.8051699
Masjid El Syifa,-6.3329101,106.807574
RSUD Kecamatan Jagakarsa,-6.3163964,106.8117595
Gang Film,-6.322348,106.8112064
Daarul Aitam,-6.3246093,106.8114635
Puskesmas Ciganjur,-6.3365435,106.8061879
Jalan Kemenyan,-6.3389994,106.8051023
Masjid Jami Asy Syakirin,-6.3512171,106.8015233
Jalan Haji Aselih,-6.3518407,106.8015658
SDN 05 Cipedak,-6.3548415,106.801156
SMPN 131,-6.3621938,106.8017391
Madrasah Aliyah Citra Cendekia,-6.3579361,106.8005762
Gang Haji Amsar,-6.3454183,106.8036677
Taman Buni,-6.3310494,106.808281
Yayasan Islam Al Makmur,-6.3403889,106.8047559
Yayasan Islam Al Makmur,-6.3402459,106.8046845
SMP El Syifa,-6.334092,106.8069841
Gang Haji Na'awih,-6.326243,106.8110213
Masjid Daarul Iman,-6.3417326,106.8046231
Taman Buni,-6.3311559,106.8081426
Pertigaan Herman Susilo,-6.3269703,106.8108926
Pertigaan Brigif Warungsila,-6.3447508,106.8040179
Pom Bensin Kahfi 1,-6.3500482,106.8017905
Masjid Jami Al Makmur,-6.3456264,106.8035113
Pertigaan Kahfi Raya Timbul Raya,-6.3501475,106.8016966
Madrasah Aliyah Citra Cendekia,-6.3575198,106.8007801
Jalan Kramat,-6.3635802,106.8032727
Manggar 2,-6.3632398,106.8027624
SMPN 131,-6.3622938,106.8017112
SDN 05 Cipedak,-6.3544245,106.8012175
Jalan Haji Aselih,-6.352172,106.801499
Simpang Brigif,-6.3431171,106.8042832
Masjid Al Akhyar,-6.3180074,106.8112435
Gang Film,-6.322262,106.8111288
Tanah Baru,-6.3634426,106.8069589
Pertigaan Kampung Kandang,-6.3107249,106.8131469
Jalan Intan,-6.2926108,106.7987063
Permata Hijau RS Medika 2,-6.2180695,106.7769712
STM Cendrawasih,-6.216454,106.7740118
Konsil Kedokteran Indonesia,-6.1944159,106.8364781
SMAN 28,-6.2860703,106.8331957
Kecamatan Pasar Minggu,-6.2855369,106.8352428
TTI Center,-6.286234,106.8339101
Direktorat Jenderal Holtikultura,-6.2855572,106.8393406
